id;nome;cnpj;logradouro;numero;complemento;bairro;cep;principal;cidade_id
1;advancement;pollute perfumed press;aw;annua;submissive how into;where toward throughout;among unl;false;1
2;naive job ouch;poach;geography incidentally;throu;before;through tedious mean;since;true;2
3;accidentally;fiercely athwart;supposing gee;entir;furthermore patiently unlike;meh anti interconnect;throughou;true;3
4;drip why anti;likewise;um;bitte;since;incompetence;woefully ;true;4
5;linguist instead huzzah;oof;notwithstanding ouch;enthu;interchange;zowie uh-huh throughout;mass thro;false;5
6;gah bitter;until aw luck;skate mechanically skunk;comfo;incidentally;alongside times pledge;yuck ew m;false;6
7;federation oil vainly;mid;gadzooks punctual subdued;than ;hungry;since unto;while;true;7
8;strong;before and snuffling;furthermore;staid;if yet seldom;phooey;minus ste;false;8
9;yuck;mime hungry salute;watchful;ash g;reallocate tomorrow humour;speedily intensely uplift;than agai;true;9
10;idealistic;oof yet;omega;worry;sleepily yowza boy;gruesome;upside-do;false;10
